source,period,GWh
Coal,2025-04,45839.19058
Coal,2025-03,49134.02239
Coal,2025-02,62262.40528
Coal,2025-01,83149.59178
Coal,2024-12,62888.46959
Coal,2024-11,44994.68815
Coal,2024-10,46957.33506
Coal,2024-09,54628.10634
Coal,2024-08,68837.95979
Coal,2024-07,71686.29409
Coal,2024-06,61392.89261
Coal,2024-05,45912.7158
Coal,2024-04,37322.4042
Coal,2024-03,38389.60988
Coal,2024-02,44058.09197
Coal,2024-01,75690.97615
Coal,2023-12,56364.82369
Coal,2023-11,51209.35616
Coal,2023-10,50932.74264
Coal,2023-09,59958.86512
Coal,2023-08,78111.71337
Coal,2023-07,78903.21656
Coal,2023-06,57771.50047
Coal,2023-05,43803.65904
Coal,2023-04,40232.60466
Coal,2023-03,50095.6027
Coal,2023-02,46374.16021
Coal,2023-01,61357.03269
Coal,2022-12,73380.89229
Coal,2022-11,56376.96293
Coal,2022-10,54228.45722
Coal,2022-09,64998.31931
Coal,2022-08,85214.64958
Coal,2022-07,86414.97062
Coal,2022-06,73463.10379
Coal,2022-05,62531.74438
Coal,2022-04,55329.13354
Coal,2022-03,61018.7735
Coal,2022-02,70966.37798
Coal,2022-01,87588.22693
Coal,2021-12,60024.59585
Coal,2021-11,57426.34728
Coal,2021-10,62572.1427
Coal,2021-09,78876.84017
Coal,2021-08,101854.5988
Coal,2021-07,101536.5367
Coal,2021-06,87264.60172
Coal,2021-05,63872.72048
Coal,2021-04,53956.13351
Coal,2021-03,61903.96388
Coal,2021-02,87470.49993
Coal,2021-01,81239.77891
Coal,2020-12,78587.62866
Coal,2020-11,61182.18639
Coal,2020-10,59804.58904
Coal,2020-09,68406.74534
Coal,2020-08,91145.41119
Coal,2020-07,89709.48262
Coal,2020-06,65283.16993
Coal,2020-05,46526.62632
Coal,2020-04,40675.20198
Coal,2020-03,50730.62847
Coal,2020-02,56201.46779
Coal,2020-01,65139.75937
Coal,2019-12,72580.73606
Coal,2019-11,75549.33857
Coal,2019-10,66777.23093
Coal,2019-09,85706.69196
Coal,2019-08,94039.70636
Coal,2019-07,100770.78542
Coal,2019-06,78539.50426
Coal,2019-05,71884.62525
Coal,2019-04,59922.45969
Coal,2019-03,78351.61989
Coal,2019-02,79929.40881
Coal,2019-01,100904.7043
Coal,2018-12,100318.60014
Coal,2018-11,92818.59372
Coal,2018-10,87263.62736
Coal,2018-09,96543.99239
Coal,2018-08,115129.45572
Coal,2018-07,115376.37644
Coal,2018-06,101503.42674
Coal,2018-05,85227.3
Coal,2018-04,73346.00643
Coal,2018-03,80625.66254
Coal,2018-02,82050.18241
Coal,2018-01,119284.11471
Coal,2017-12,106545.36665
Coal,2017-11,90986.33924
Coal,2017-10,89775.52365
Coal,2017-09,98202.04611
Coal,2017-08,119488.38491
Coal,2017-07,127697.82032
Coal,2017-06,107508.32219
Coal,2017-05,92776.54135
Coal,2017-04,81335.3131
Coal,2017-03,89364.62027
Coal,2017-02,86822.18986
Coal,2017-01,115332.80828
Coal,2016-12,118746.8419
Coal,2016-11,86940.46241
Coal,2016-10,99193.94367
Coal,2016-09,114137.76825
Coal,2016-08,135634.73331
Coal,2016-07,136316.43397
Coal,2016-06,116034.38414
Coal,2016-05,81694.51025
Coal,2016-04,72112.8619
Coal,2016-03,72172.52681
Coal,2016-02,92704.80797
Coal,2016-01,113459.37975
Coal,2015-12,89495.07284
Coal,2015-11,87227.13603
Coal,2015-10,96758.50415
Coal,2015-09,117985.6322
Coal,2015-08,134670.3089
Coal,2015-07,139099.86855
Coal,2015-06,125673.11366
Coal,2015-05,104584.52668
Coal,2015-04,88989.1425
Coal,2015-03,108487.53856
Coal,2015-02,126976.83198
Coal,2015-01,132450.52066
Coal,2014-12,124620.11616
Coal,2014-11,119127.43937
Coal,2014-10,111295.95754
Coal,2014-09,126110.38461
Coal,2014-08,148451.62333
Coal,2014-07,149627.05758
Coal,2014-06,137576.92149
Coal,2014-05,118785.80061
Coal,2014-04,109280.59165
Coal,2014-03,136442.60132
Coal,2014-02,143294.48747
Coal,2014-01,157097.36861
Coal,2013-12,141859.66537
Coal,2013-11,120939.72975
Coal,2013-10,120996.39294
Coal,2013-09,133110.43729
Coal,2013-08,149426.0529
Coal,2013-07,152866.8527
Coal,2013-06,138283.21603
Coal,2013-05,119512.5
Coal,2013-04,111834.68254
Coal,2013-03,130633.56036
Coal,2013-02,123546.80484
Coal,2013-01,138104.82108
Coal,2012-12,134078.90757
Coal,2012-11,128727.0657
Coal,2012-10,120999.33876
Coal,2012-09,125588.60805
Coal,2012-08,152181.05516
Coal,2012-07,160450.26253
Coal,2012-06,131261.03605
Coal,2012-05,115982.64658
Coal,2012-04,96285.44067
Coal,2012-03,105525.54678
Coal,2012-02,113872.04689
Coal,2012-01,129090.98981
Coal,2011-12,132928.71614
Coal,2011-11,121462.71077
Coal,2011-10,126626.97282
Coal,2011-09,140941.1491
Coal,2011-08,171280.53388
Coal,2011-07,176585.81965
Coal,2011-06,158055.21258
Coal,2011-05,137101.56497
Coal,2011-04,124488.2575
Coal,2011-03,134845.23138
Coal,2011-02,138311.15723
Coal,2011-01,170802.67931
Coal,2010-12,167258.08616
Coal,2010-11,135185.04538
Coal,2010-10,132269.83506
Coal,2010-09,148745.67169
Coal,2010-08,177745.32008
Coal,2010-07,179600.4991
Coal,2010-06,165491.48889
Coal,2010-05,143272.49362
Coal,2010-04,126951.88534
Coal,2010-03,144405.63319
Coal,2010-02,153044.15909
Coal,2010-01,173320.16091
Coal,2009-12,166434.03556
Coal,2009-11,136809.57521
Coal,2009-10,139955.57738
Coal,2009-09,137144.64798
Coal,2009-08,163260.48308
Coal,2009-07,158233.86912
Coal,2009-06,148086.77111
Coal,2009-05,131673.05752
Coal,2009-04,125934.97312
Coal,2009-03,135530.3278
Coal,2009-02,140915.78476
Coal,2009-01,171925.15034
Coal,2008-12,167785.73046
Coal,2008-11,154281.19798
Coal,2008-10,151840.71519
Coal,2008-09,161356.34732
Coal,2008-08,180576.49295
Coal,2008-07,186733.45633
Coal,2008-06,171043.27903
Coal,2008-05,154915.90135
Coal,2008-04,146983.02391
Coal,2008-03,160743.24304
Coal,2008-02,166666.35479
Coal,2008-01,182875.5043
Coal,2007-12,173829.86553
Coal,2007-11,159382.45455
Coal,2007-10,162234.35613
Coal,2007-09,169391.27283
Coal,2007-08,190134.81633
Coal,2007-07,185053.78761
Coal,2007-06,173512.88404
Coal,2007-05,157513.28116
Coal,2007-04,146249.54121
Coal,2007-03,159811.07388
Coal,2007-02,163602.81256
Coal,2007-01,175739.4377
Coal,2006-12,173508.95112
Coal,2006-11,159439.51728
Coal,2006-10,161389.65914
Coal,2006-09,161590.35416
Coal,2006-08,189454.92967
Coal,2006-07,187820.87151
Coal,2006-06,169693.4782
Coal,2006-05,157009.75508
Coal,2006-04,141426.23364
Coal,2006-03,161325.11525
Coal,2006-02,158616.18891
Coal,2006-01,169236.08057
Coal,2005-12,177965.17958
Coal,2005-11,158797.52701
Coal,2005-10,162436.79301
Coal,2005-09,171656.21549
Coal,2005-08,187573.75443
Coal,2005-07,186090.75719
Coal,2005-06,174866.99726
Coal,2005-05,153957.96154
Coal,2005-04,143083.23903
Coal,2005-03,163612.7005
Coal,2005-02,155818.01413
Coal,2005-01,177013.90662
Coal,2004-12,176755.20145
Coal,2004-11,157435.99421
Coal,2004-10,157605.0954
Coal,2004-09,164252.92334
Coal,2004-08,178181.34259
Coal,2004-07,181491.82062
Coal,2004-06,167641.90627
Coal,2004-05,157016.37723
Coal,2004-04,141470.95622
Coal,2004-03,154288.41916
Coal,2004-02,161503.09216
Coal,2004-01,180657.42054
Coal,2003-12,176291.473
Coal,2003-11,158223.194
Coal,2003-10,159322.942
Coal,2003-09,164910.002
Coal,2003-08,185331.823
Coal,2003-07,181852.318
Coal,2003-06,162284.63
Coal,2003-05,150262.977
Coal,2003-04,141959.981
Coal,2003-03,155001.775
Coal,2003-02,156982.481
Coal,2003-01,181313.153
Coal,2002-12,172189.765
Coal,2002-11,156053.655
Coal,2002-10,159099.294
Coal,2002-09,165366.309
Coal,2002-08,179955.447
Coal,2002-07,183194.702
Coal,2002-06,164667.695
Coal,2002-05,151406.401
Coal,2002-04,142304.595
Coal,2002-03,151485.651
Coal,2002-02,143048.822
Coal,2002-01,164358.018
Coal,2001-12,157402.35
Coal,2001-11,144116.998
Coal,2001-10,148930.816
Coal,2001-09,154158.317
Coal,2001-08,183116.073
Coal,2001-07,179060.41
Coal,2001-06,162615.804
Coal,2001-05,151592.914
Coal,2001-04,140670.654
Coal,2001-03,155269.011
Coal,2001-02,149735.484
Coal,2001-01,177287.111
Gas,2025-04,115960.37535
Gas,2025-03,118919.93448
Gas,2025-02,132339.57223
Gas,2025-01,156526.71341
Gas,2024-12,145365.01275
Gas,2024-11,137041.41254
Gas,2024-10,146347.74525
Gas,2024-09,169393.44023
Gas,2024-08,203074.90468
Gas,2024-07,207717.35786
Gas,2024-06,169307.07575
Gas,2024-05,143617.82789
Gas,2024-04,121282.09818
Gas,2024-03,130604.32358
Gas,2024-02,130987.10591
Gas,2024-01,160135.50524
Gas,2023-12,149797.85244
Gas,2023-11,135357.71949
Gas,2023-10,140654.67524
Gas,2023-09,166150.87759
Gas,2023-08,198999.93491
Gas,2023-07,199288.8158
Gas,2023-06,161851.00512
Gas,2023-05,137295.67838
Gas,2023-04,119877.76442
Gas,2023-03,133557.7022
Gas,2023-02,124891.94388
Gas,2023-01,138339.10302
Gas,2022-12,140715.95863
Gas,2022-11,127523.43894
Gas,2022-10,133491.52385
Gas,2022-09,156947.86255
Gas,2022-08,188859.66884
Gas,2022-07,189042.19413
Gas,2022-06,155516.99607
Gas,2022-05,127091.02336
Gas,2022-04,105505.84655
Gas,2022-03,112477.26754
Gas,2022-02,114945.42818
Gas,2022-01,134947.53058
Gas,2021-12,127586.43005
Gas,2021-11,122433.25919
Gas,2021-10,131851.68145
Gas,2021-09,138214.4087
Gas,2021-08,172716.00517
Gas,2021-07,170189.36311
Gas,2021-06,149375.55551
Gas,2021-05,114675.79155
Gas,2021-04,107416.26793
Gas,2021-03,107018.71133
Gas,2021-02,111182.91493
Gas,2021-01,126529.59847
Gas,2020-12,127685.13509
Gas,2020-11,109657.92447
Gas,2020-10,131241.61631
Gas,2020-09,141163.7049
Gas,2020-08,173389.75292
Gas,2020-07,181259.73547
Gas,2020-06,142833.3469
Gas,2020-05,116942.93863
Gas,2020-04,110300.65012
Gas,2020-03,125904.68928
Gas,2020-02,127871.17318
Gas,2020-01,135916.20216
Gas,2019-12,131838.91728
Gas,2019-11,117910.46597
Gas,2019-10,130947.61797
Gas,2019-09,149697.03128
Gas,2019-08,174968.28657
Gas,2019-07,171954.56399
Gas,2019-06,137836.13768
Gas,2019-05,117058.87399
Gas,2019-04,104058.59005
Gas,2019-03,115813.10124
Gas,2019-02,112141.91132
Gas,2019-01,121588.67631
Gas,2018-12,109801.97563
Gas,2018-11,108167.63501
Gas,2018-10,123142.23947
Gas,2018-09,141785.5277
Gas,2018-08,161676.24102
Gas,2018-07,164749.06024
Gas,2018-06,130826.39996
Gas,2018-05,115283.9823
Gas,2018-04,98371.08027
Gas,2018-03,106523.77987
Gas,2018-02,98511.85154
Gas,2018-01,110292.90908
Gas,2017-12,111397.79204
Gas,2017-11,94928.34076
Gas,2017-10,106826.27512
Gas,2017-09,118035.85224
Gas,2017-08,141201.1381
Gas,2017-07,146929.43853
Gas,2017-06,117235.70085
Gas,2017-05,98019.31124
Gas,2017-04,88455.10059
Gas,2017-03,95073.66171
Gas,2017-02,82767.65084
Gas,2017-01,95572.22908
Gas,2016-12,96363.59628
Gas,2016-11,93941.8345
Gas,2016-10,102897.98607
Gas,2016-09,125602.73981
Gas,2016-08,154759.67321
Gas,2016-07,151553.87196
Gas,2016-06,131395.22913
Gas,2016-05,110430.1923
Gas,2016-04,98875.9473
Gas,2016-03,103889.93756
Gas,2016-02,98552.17908
Gas,2016-01,110043.74673
Gas,2015-12,109776.67885
Gas,2015-11,102236.25483
Gas,2015-10,110005.03903
Gas,2015-09,123035.92238
Gas,2015-08,139083.7544
Gas,2015-07,141119.08134
Gas,2015-06,121477.74922
Gas,2015-05,101516.3545
Gas,2015-04,92805.99824
Gas,2015-03,99422.71998
Gas,2015-02,91315.16471
Gas,2015-01,101687.39262
Gas,2014-12,91037.8204
Gas,2014-11,84353.51326
Gas,2014-10,97683.01576
Gas,2014-09,106581.58568
Gas,2014-08,122348.42288
Gas,2014-07,115081.26949
Gas,2014-06,98467.60766
Gas,2014-05,89119.67653
Gas,2014-04,76781.87947
Gas,2014-03,78150.91836
Gas,2014-02,75942.31445
Gas,2014-01,91060.93439
Gas,2013-12,92936.2913
Gas,2013-11,84286.78492
Gas,2013-10,88587.40151
Gas,2013-09,102063.23334
Gas,2013-08,121156.39696
Gas,2013-07,120770.9808
Gas,2013-06,99615.06431
Gas,2013-05,83815.59186
Gas,2013-04,78036.43182
Gas,2013-03,84725.25919
Gas,2013-02,80283.07377
Gas,2013-01,88559.05007
Gas,2012-12,83989.0974
Gas,2012-11,80169.46107
Gas,2012-10,91725.37056
Gas,2012-09,108012.30069
Gas,2012-08,131735.86442
Gas,2012-07,138862.84998
Gas,2012-06,115597.50323
Gas,2012-05,107351.81228
Gas,2012-04,94828.59637
Gas,2012-03,92250.65327
Gas,2012-02,90609.78234
Gas,2012-01,90760.88378
Gas,2011-12,86121.62582
Gas,2011-11,75441.29818
Gas,2011-10,78819.20708
Gas,2011-09,91739.07009
Gas,2011-08,119855.79257
Gas,2011-07,119623.59113
Gas,2011-06,90691.11156
Gas,2011-05,75242.79679
Gas,2011-04,70028.99891
Gas,2011-03,65947.12043
Gas,2011-02,65923.98289
Gas,2011-01,74254.33381
Gas,2010-12,77573.32016
Gas,2010-11,69226.55984
Gas,2010-10,77738.33651
Gas,2010-09,93004.17649
Gas,2010-08,121151.26856
Gas,2010-07,114624.20192
Gas,2010-06,92268.43063
Gas,2010-05,73665.43824
Gas,2010-04,64644.025
Gas,2010-03,63430.66033
Gas,2010-02,66198.08
Gas,2010-01,74172.73601
Gas,2009-12,71589.60705
Gas,2009-11,63285.13196
Gas,2009-10,72602.72548
Gas,2009-09,92126.61784
Gas,2009-08,109239.55406
Gas,2009-07,101893.83251
Gas,2009-06,84205.18154
Gas,2009-05,68145.64662
Gas,2009-04,61158.67362
Gas,2009-03,68202.74331
Gas,2009-02,62138.85332
Gas,2009-01,66390.11321
Gas,2008-12,64363.64603
Gas,2008-11,61454.19852
Gas,2008-10,73283.33855
Gas,2008-09,79136.02998
Gas,2008-08,99673.49348
Gas,2008-07,100320.87805
Gas,2008-06,84619.97663
Gas,2008-05,62270.44712
Gas,2008-04,63046.09796
Gas,2008-03,62170.57985
Gas,2008-02,60042.0118
Gas,2008-01,72599.9011
Gas,2007-12,66807.82797
Gas,2007-11,60636.79925
Gas,2007-10,78358.02381
Gas,2007-09,88531.61471
Gas,2007-08,121338.42663
Gas,2007-07,97482.67572
Gas,2007-06,81511.45079
Gas,2007-05,66469.7005
Gas,2007-04,60152.84758
Gas,2007-03,56203.82094
Gas,2007-02,57622.07125
Gas,2007-01,61474.53193
Gas,2006-12,56128.18599
Gas,2006-11,53439.69272
Gas,2006-10,70640.03895
Gas,2006-09,72673.34798
Gas,2006-08,106591.66595
Gas,2006-07,108093.51438
Gas,2006-06,81060.20993
Gas,2006-05,65585.60534
Gas,2006-04,56090.85628
Gas,2006-03,54921.74189
Gas,2006-02,47408.9894
Gas,2006-01,43806.92078
Gas,2005-12,53992.60122
Gas,2005-11,49440.22594
Gas,2005-10,55940.88089
Gas,2005-09,73355.48269
Gas,2005-08,100786.65435
Gas,2005-07,96819.41031
Gas,2005-06,75635.49254
Gas,2005-05,54826.00402
Gas,2005-04,52016.28598
Gas,2005-03,51896.97271
Gas,2005-02,44912.61665
Gas,2005-01,51337.62707
Gas,2004-12,51309.56547
Gas,2004-11,49693.03398
Gas,2004-10,57228.81399
Gas,2004-09,67853.99334
Gas,2004-08,77820.68835
Gas,2004-07,79290.02224
Gas,2004-06,64685.66904
Gas,2004-05,62021.80807
Gas,2004-04,51821.98826
Gas,2004-03,49801.1869
Gas,2004-02,50319.87478
Gas,2004-01,48253.37213
Gas,2003-12,44034.895
Gas,2003-11,45327.919
Gas,2003-10,51824.169
